acceleration,aggression,agility,balance,ball,composure,crossing,curve,defending,diving,dribbling,finishing,fk,handling,heading,interceptions,jumping,kicking,long,marking,pace,passing,penalties,physicality,player_id,positioning,raits,reactions,reflexes,shooting,short,shot,sliding,specialities,speed,sprint,stamina,standing,strength,vision,volleys,cam,cb,cdm,cf,cm,lb,lf,lm,lw,lwb,rb,rf,rm,rw,rwb,st,added_on,age,att_workrate,club,def_workrate,foot,height,intl_reputation,league,name,nation,origin,revision,skills,weak_foot,weight,colour,front_scores,overall_score,position,rareness
95,55,94,94,94,0,87,81,53,0,93,91,86,0,83,61,86,0,85,48,95,89,88,73,1,96,"['Leadership', 'Shooting - Finesse Shot']",96,0,89,89,84,42,"['Speedster', 'Dribbler', 'Crosser', 'Acrobat', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,95,88,46,71,96,90,93,63,72,93,88,72,93,92,93,76,72,93,92,93,76,90,2016-09-21,76,High,Legends,Low,Right,174,0,Legends,Pelé,Brazil,N\A,Legend,5,4,70,gold,"{'PHY': '73', 'DEF': '53', 'DRI': '94', 'PAS': '89', 'SHO': '89', 'PAC': '95'}",95,CF,rare
83,63,80,66,89,0,64,76,94,0,73,62,74,0,90,96,86,0,94,94,82,83,76,81,4,67,"['Passing - Long Passer', 'Shooting - Long Shot Taker', 'Chip Shot']",92,0,69,92,75,91,"['Aerial Threat', 'Tackler', 'Tactician', 'Complete Defender']",0,81,85,96,86,82,64,82,90,91,79,87,88,79,80,78,87,88,79,80,78,87,78,2016-09-21,71,High,Legends,Med,Right,181,0,Legends,Beckenbauer,Germany,N\A,Legend,3,3,75,gold,"{'PHY': '81', 'DEF': '94', 'DRI': '79', 'PAS': '83', 'SHO': '69', 'PAC': '82'}",93,CB,rare
87,66,65,69,72,0,83,31,95,0,61,62,26,0,91,94,82,0,79,95,86,74,54,80,5,35,"['Injury Prone', 'Dives Into Tackles', 'Leadership', 'Ultimate Professional']",91,0,56,83,70,94,"['Tackler', 'Tactician']",0,85,84,96,84,68,65,68,89,85,67,74,89,67,73,69,87,89,67,73,69,87,69,2016-09-21,48,Med,Legends,High,Right,187,0,Legends,Maldini,Italy,N\A,Legend,2,4,85,gold,"{'PHY': '80', 'DEF': '95', 'DRI': '67', 'PAS': '74', 'SHO': '56', 'PAC': '86'}",92,LB,rare
77,79,75,84,89,0,58,56,94,0,54,31,48,0,84,95,85,0,83,94,76,73,65,82,6,39,"['Leadership', 'Passing - Long Passer', 'Ultimate Professional']",89,0,39,86,47,92,"['Tackler', 'Tactician']",0,75,91,96,79,68,41,69,89,89,64,77,87,64,69,65,84,87,64,69,65,84,61,2016-09-21,57,Med,Legends,Med,Right,176,0,Legends,Baresi,Italy,N\A,Legend,2,3,70,gold,"{'PHY': '82', 'DEF': '94', 'DRI': '70', 'PAS': '73', 'SHO': '39', 'PAC': '76'}",92,CB,rare
88,93,74,79,87,0,81,72,88,0,71,81,90,0,77,91,72,0,90,87,86,86,91,82,10,86,['Shooting - Long Shot Taker'],87,0,86,86,91,90,"['Play Maker', 'Distance Shooter', 'FK Specialist', 'Tackler', 'Tactician', 'Midfielder']",0,84,89,91,75,91,77,85,86,88,84,87,87,84,84,83,87,87,84,84,83,87,83,2016-09-21,56,High,Legends,High,Right,174,0,Legends,Matthäus,Germany,N\A,Legend,3,4,71,gold,"{'PHY': '82', 'DEF': '88', 'DRI': '77', 'PAS': '86', 'SHO': '86', 'PAC': '86'}",91,CDM,rare
81,51,84,71,85,0,74,65,34,0,78,97,71,0,90,45,88,0,62,25,83,73,87,70,11,94,"['Shooting - Finesse Shot', 'Ultimate Professional', 'Technical Dribbler']",93,0,94,78,97,21,"['Aerial Threat', 'Distance Shooter', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,84,62,22,80,73,97,82,52,57,86,74,57,86,81,84,60,57,86,81,84,60,90,2016-09-21,52,Med,Legends,Med,Right,188,0,Legends,van Basten,Netherlands,N\A,Legend,3,3,78,gold,"{'PHY': '70', 'DEF': '34', 'DRI': '81', 'PAS': '73', 'SHO': '94', 'PAC': '83'}",91,Basten,rare
86,62,86,69,94,0,87,88,42,0,94,93,89,0,61,43,58,0,76,36,85,85,92,69,12,89,"['Shooting - Finesse Shot', 'Playmaker', 'Ultimate Professional', 'Technical Dribbler', 'Takes Finesse Style Free Kicks']",88,0,89,82,80,34,"['Crosser', 'FK Specialist', 'Acrobat', 'Clinical Finisher']",0,85,85,42,64,91,87,89,54,65,89,82,64,89,88,90,69,64,89,88,90,69,85,2016-09-21,42,Med,Legends,Low,Right,174,0,Legends,Del Piero,Italy,N\A,Legend,4,5,74,gold,"{'PHY': '69', 'DEF': '42', 'DRI': '92', 'PAS': '85', 'SHO': '89', 'PAC': '85'}",90,Piero,rare
70,88,38,51,78,0,49,46,92,0,54,22,25,0,86,89,84,0,62,94,67,62,42,86,13,37,"['Injury Prone', 'Dives Into Tackles', 'Power Header', 'Ultimate Professional']",89,0,32,80,48,92,"['Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,64,73,93,91,55,37,60,89,83,58,68,81,58,62,57,78,81,58,62,57,78,57,2016-09-21,41,Med,Legends,High,Right,187,0,Legends,Nesta,Italy,N\A,Legend,2,3,79,gold,"{'PHY': '86', 'DEF': '92', 'DRI': '61', 'PAS': '62', 'SHO': '32', 'PAC': '67'}",90,CB,rare
85,84,82,88,89,0,76,72,26,0,87,92,86,0,51,21,77,0,81,17,83,83,96,79,14,93,"['Shooting - Finesse Shot', 'Flair']",90,0,90,89,90,16,"['Dribbler', 'FK Specialist', 'Clinical Finisher']",0,82,81,32,77,84,91,87,47,60,88,81,55,88,86,87,60,55,88,86,87,60,85,2016-09-21,48,Med,Legends,Low,Right,183,0,Legends,Bergkamp,Netherlands,N\A,Legend,4,4,78,gold,"{'PHY': '79', 'DEF': '26', 'DRI': '87', 'PAS': '83', 'SHO': '90', 'PAC': '83'}",90,CF,rare
86,92,83,82,88,0,85,89,51,0,88,89,85,0,78,56,72,0,79,34,84,85,91,82,15,91,"['Selfish', 'Flair', 'Technical Dribbler']",84,0,88,84,89,47,"['Dribbler', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,83,74,56,84,88,92,86,65,70,87,82,68,87,86,87,70,68,87,86,87,70,87,2016-09-21,51,Med,Legends,Med,Left,178,0,Legends,Stoichkov,Bulgaria,N\A,Legend,4,3,77,gold,"{'PHY': '82', 'DEF': '51', 'DRI': '87', 'PAS': '85', 'SHO': '88', 'PAC': '84'}",90,ST,rare
